gid,row,col,xcoord,ycoord,mountains_mean
"49182","69","222","-69.25","-55.75",
"49183","69","223","-68.75","-55.75",
"49184","69","224","-68.25","-55.75",
"49185","69","225","-67.75","-55.75",
"49186","69","226","-67.25","-55.75",
"49898","70","218","-71.25","-55.25",
"49899","70","219","-70.75","-55.25",
"49900","70","220","-70.25","-55.25",
"49901","70","221","-69.75","-55.25","0.838"
"49902","70","222","-69.25","-55.25","0.77666664"
"49903","70","223","-68.75","-55.25","0.834"
"49904","70","224","-68.25","-55.25","0.61"
"49905","70","225","-67.75","-55.25","0.24666667"
"49906","70","226","-67.25","-55.25","0"
"49907","70","227","-66.75","-55.25","0.12"
"49908","70","228","-66.25","-55.25",
"50616","71","216","-72.25","-54.75",
"50617","71","217","-71.75","-54.75",
"50618","71","218","-71.25","-54.75","0.635"
"50619","71","219","-70.75","-54.75","0.73"
"50620","71","220","-70.25","-54.75","0.8925"
"50621","71","221","-69.75","-54.75","0.9576923"
"50622","71","222","-69.25","-54.75","0.91444445"
"50623","71","223","-68.75","-54.75","0.6880769"
"50624","71","224","-68.25","-54.75","0.50608695"
"50625","71","225","-67.75","-54.75","0.46703702"
"50626","71","226","-67.25","-54.75","0.4184"
"50627","71","227","-66.75","-54.75","0.14"
"50628","71","228","-66.25","-54.75","0.32076922"
"50629","71","229","-65.75","-54.75","0.31166667"
"50630","71","230","-65.25","-54.75","0.18833333"
"50631","71","231","-64.75","-54.75",
"50632","71","232","-64.25","-54.75",
"50633","71","233","-63.75","-54.75",
"51078","71","678","158.75","-54.75",
"51334","72","214","-73.25","-54.25",
"51335","72","215","-72.75","-54.25",
"51336","72","216","-72.25","-54.25","0.41"
"51337","72","217","-71.75","-54.25","0.79"
"51338","72","218","-71.25","-54.25",
"51339","72","219","-70.75","-54.25","0.85249996"
"51340","72","220","-70.25","-54.25","0.73"
"51341","72","221","-69.75","-54.25","0.25416666"
"51342","72","222","-69.25","-54.25","0.3140909"
"51343","72","223","-68.75","-54.25","0.34885713"
"51344","72","224","-68.25","-54.25","0.19138889"
"51345","72","225","-67.75","-54.25","0.13805555"
"51346","72","226","-67.25","-54.25","0.033214286"
"51347","72","227","-66.75","-54.25","0.07909091"
"51348","72","228","-66.25","-54.25",
"51798","72","678","158.75","-54.25",
"52053","73","213","-73.75","-53.75",
"52054","73","214","-73.25","-53.75","0.228"
"52055","73","215","-72.75","-53.75","0.85818183"
"52056","73","216","-72.25","-53.75","0.50333333"
"52057","73","217","-71.75","-53.75","0.7313333"
"52058","73","218","-71.25","-53.75","0.6356522"
"52059","73","219","-70.75","-53.75","0.1825"
"52060","73","220","-70.25","-53.75","0.5466667"
"52061","73","221","-69.75","-53.75","0.37318182"
"52062","73","222","-69.25","-53.75","0.027058823"
"52063","73","223","-68.75","-53.75","0"
"52064","73","224","-68.25","-53.75","0"
"52065","73","225","-67.75","-53.75","0"
"52066","73","226","-67.25","-53.75",
"52772","74","212","-74.25","-53.25",
"52773","74","213","-73.75","-53.25",
"52774","74","214","-73.25","-53.25",
"52775","74","215","-72.75","-53.25","0.69"
"52776","74","216","-72.25","-53.25","0.4675"
"52777","74","217","-71.75","-53.25","0.7375"
"52778","74","218","-71.25","-53.25","0.636"
"52779","74","219","-70.75","-53.25","0.1"
"52780","74","220","-70.25","-53.25","0.20555556"
"52781","74","221","-69.75","-53.25","0.034583334"
"52782","74","222","-69.25","-53.25","0"
"52783","74","223","-68.75","-53.25","0"
"52784","74","224","-68.25","-53.25","0"
"53491","75","211","-74.75","-52.75",
"53492","75","212","-74.25","-52.75",
"53493","75","213","-73.75","-52.75",
"53494","75","214","-73.25","-52.75","0.73875"
"53495","75","215","-72.75","-52.75","0.64375"
"53496","75","216","-72.25","-52.75","0.502"
"53497","75","217","-71.75","-52.75","0.41166666"
"53498","75","218","-71.25","-52.75","0.0044444446"
"53499","75","219","-70.75","-52.75","0"
"53500","75","220","-70.25","-52.75","0.0875"
"53501","75","221","-69.75","-52.75","0"
"53502","75","222","-69.25","-52.75","0"
"53503","75","223","-68.75","-52.75","0"
"53504","75","224","-68.25","-52.75","0"
"53979","75","699","169.25","-52.75",
"54210","76","210","-75.25","-52.25",
"54211","76","211","-74.75","-52.25",
"54212","76","212","-74.25","-52.25",
"54213","76","213","-73.75","-52.25","0.02"
"54214","76","214","-73.25","-52.25","0.5423077"
"54215","76","215","-72.75","-52.25","0.29833335"
"54216","76","216","-72.25","-52.25","0.40424243"
"54217","76","217","-71.75","-52.25","0.4652778"
"54218","76","218","-71.25","-52.25","0.016111111"
"54219","76","219","-70.75","-52.25","0"
"54220","76","220","-70.25","-52.25","0.005277778"
"54221","76","221","-69.75","-52.25","0"
"54222","76","222","-69.25","-52.25","0"
"54223","76","223","-68.75","-52.25","0"
"54224","76","224","-68.25","-52.25",
"54699","76","699","169.25","-52.25",
"54930","77","210","-75.25","-51.75",
"54931","77","211","-74.75","-51.75",
"54932","77","212","-74.25","-51.75",
"54933","77","213","-73.75","-51.75","0.88"
"54934","77","214","-73.25","-51.75","0.935"
"54935","77","215","-72.75","-51.75","0.38857144"
"54936","77","216","-72.25","-51.75","0.21575758"
"54937","77","217","-71.75","-51.75","0.045833334"
"54938","77","218","-71.25","-51.75","0"
"54939","77","219","-70.75","-51.75","0"
"54940","77","220","-70.25","-51.75","0"
"54941","77","221","-69.75","-51.75","0"
"54942","77","222","-69.25","-51.75","0"
"54943","77","223","-68.75","-51.75","0"
"55650","78","210","-75.25","-51.25",
"55651","78","211","-74.75","-51.25",
"55652","78","212","-74.25","-51.25","0.04"
"55653","78","213","-73.75","-51.25","0.70666665"
"55654","78","214","-73.25","-51.25","0.7661539"
"55655","78","215","-72.75","-51.25","0.27083334"
"55656","78","216","-72.25","-51.25","0.3913889"
"55657","78","217","-71.75","-51.25","0.096944444"
"55658","78","218","-71.25","-51.25","0.03277778"
"55659","78","219","-70.75","-51.25","0"
"55660","78","220","-70.25","-51.25","0"
"55661","78","221","-69.75","-51.25","0"
"55662","78","222","-69.25","-51.25","0"
"55663","78","223","-68.75","-51.25",
"56369","79","209","-75.75","-50.75",
"56370","79","210","-75.25","-50.75",
"56371","79","211","-74.75","-50.75","0.41"
"56372","79","212","-74.25","-50.75","0.46"
"56373","79","213","-73.75","-50.75","0.8476923"
"56374","79","214","-73.25","-50.75","0.87333333"
"56375","79","215","-72.75","-50.75","0.6191667"
"56376","79","216","-72.25","-50.75","0.5491667"
"56377","79","217","-71.75","-50.75","0.39583334"
"56378","79","218","-71.25","-50.75","0"
"56379","79","219","-70.75","-50.75","0"
"56380","79","220","-70.25","-50.75","0"
"56381","79","221","-69.75","-50.75","0"
"56382","79","222","-69.25","-50.75","0"
"56852","79","692","165.75","-50.75",
"56853","79","693","166.25","-50.75",
"57090","80","210","-75.25","-50.25",
"57091","80","211","-74.75","-50.25",
"57092","80","212","-74.25","-50.25","0.31666666"
"57093","80","213","-73.75","-50.25","0.9162963"
"57094","80","214","-73.25","-50.25","0.63666666"
"57095","80","215","-72.75","-50.25","0.5222222"
"57096","80","216","-72.25","-50.25","0.46305555"
"57097","80","217","-71.75","-50.25","0.4072222"
"57098","80","218","-71.25","-50.25","0.3775"
"57099","80","219","-70.75","-50.25","0.305"
"57100","80","220","-70.25","-50.25","0.07277778"
"57101","80","221","-69.75","-50.25","0.031944443"
"57102","80","222","-69.25","-50.25","0.013428572"
"57103","80","223","-68.75","-50.25","0.007647059"
"57104","80","224","-68.25","-50.25","0"
"57105","80","225","-67.75","-50.25",
"57809","81","209","-75.75","-49.75",
"57810","81","210","-75.25","-49.75",
"57811","81","211","-74.75","-49.75","0.918"
"57812","81","212","-74.25","-49.75","0.68333334"
"57813","81","213","-73.75","-49.75","0.92333335"
"57814","81","214","-73.25","-49.75","0.92388886"
"57815","81","215","-72.75","-49.75","0.6880556"
"57816","81","216","-72.25","-49.75","0.64916664"
"57817","81","217","-71.75","-49.75","0.54333335"
"57818","81","218","-71.25","-49.75","0.48250002"
"57819","81","219","-70.75","-49.75","0.32944444"
"57820","81","220","-70.25","-49.75","0.13722222"
"57821","81","221","-69.75","-49.75","0.014444444"
"57822","81","222","-69.25","-49.75","0.0008333333"
"57823","81","223","-68.75","-49.75","0"
"57824","81","224","-68.25","-49.75","0"
"57825","81","225","-67.75","-49.75","0"
"58318","81","718","178.75","-49.75",
"58529","82","209","-75.75","-49.25",
"58530","82","210","-75.25","-49.25",
"58531","82","211","-74.75","-49.25","0.7633333"
"58532","82","212","-74.25","-49.25","0.7681818"
"58533","82","213","-73.75","-49.25","0.91137934"
"58534","82","214","-73.25","-49.25","1"
"58535","82","215","-72.75","-49.25","0.92972225"
"58536","82","216","-72.25","-49.25","0.85638887"
"58537","82","217","-71.75","-49.25","0.46638888"
