gid,year,pop_gpw_sum
"49182","2010","9.683701"
"49183","2010","13.793961"
"49184","2010","43.598633"
"49185","2010","2.2687824"
"49186","2010","0"
"49898","2010","1.7128841"
"49899","2010","48.245174"
"49900","2010","43.732662"
"49901","2010","132.16594"
"49902","2010","189.45378"
"49903","2010","224.79651"
"49904","2010","115.21432"
"49905","2010","0"
"49906","2010","0"
"49907","2010","463.07687"
"49908","2010","378.54175"
"50616","2010","10.06356"
"50617","2010","89.3208"
"50618","2010","116.28688"
"50619","2010","185.39796"
"50620","2010","159.8912"
"50621","2010","129.45705"
"50622","2010","165.77805"
"50623","2010","2392.3953"
"50624","2010","8194.089"
"50625","2010","9219.56"
"50626","2010","10780.505"
"50627","2010","13388.861"
"50628","2010","13300.725"
"50629","2010","7948.3145"
"50630","2010","4449.921"
"50631","2010","1288.0103"
"50632","2010","2227.3364"
"50633","2010","653.2234"
"51078","2010","0"
"51334","2010","381.12393"
"51335","2010","669.6267"
"51336","2010","1443.2067"
"51337","2010","1656.8317"
"51338","2010","1764.9609"
"51339","2010","936.7396"
"51340","2010","691.5527"
"51341","2010","189.73671"
"51342","2010","236.74446"
"51343","2010","2802.9233"
"51344","2010","11754.295"
"51345","2010","11750.797"
"51346","2010","9956.66"
"51347","2010","5070.587"
"51348","2010","395.303"
"51798","2010","0"
"52053","2010","481.05414"
"52054","2010","2299.0566"
"52055","2010","2119.8613"
"52056","2010","2083.4258"
"52057","2010","2316.968"
"52058","2010","2556.4949"
"52059","2010","1460.0956"
"52060","2010","398.40613"
"52061","2010","236.2155"
"52062","2010","769.0171"
"52063","2010","3525.007"
"52064","2010","11820.014"
"52065","2010","5939.618"
"52066","2010","134.30661"
"52772","2010","785.25964"
"52773","2010","1267.2714"
"52774","2010","1793.6155"
"52775","2010","2626.4146"
"52776","2010","2342.6003"
"52777","2010","1873.6892"
"52778","2010","3109.8105"
"52779","2010","545.76306"
"52780","2010","1114.4147"
"52781","2010","973.58234"
"52782","2010","1190.6108"
"52783","2010","3488.0955"
"52784","2010","4582.78"
"53491","2010","368.018"
"53492","2010","664.29974"
"53493","2010","1453.8103"
"53494","2010","2280.2878"
"53495","2010","2322.3076"
"53496","2010","2394.8127"
"53497","2010","2244.152"
"53498","2010","2595.5168"
"53499","2010","2307.7275"
"53500","2010","995.96716"
"53501","2010","287.41278"
"53502","2010","217.48686"
"53503","2010","1631.6339"
"53504","2010","1475.4949"
"53979","2010","0"
"54210","2010","50.83789"
"54211","2010","1361.5166"
"54212","2010","1423.7043"
"54213","2010","2035.2273"
"54214","2010","3016.6716"
"54215","2010","2625.4233"
"54216","2010","3448.1567"
"54217","2010","3566.043"
"54218","2010","3252.2605"
"54219","2010","3565.6511"
"54220","2010","3567.1155"
"54221","2010","3855.3176"
"54222","2010","2580.163"
"54223","2010","3264.9636"
"54224","2010","362.1845"
"54699","2010","0"
"54930","2010","532.8558"
"54931","2010","1425.9562"
"54932","2010","1265.6908"
"54933","2010","2126.462"
"54934","2010","2705.462"
"54935","2010","1852.9706"
"54936","2010","4472.437"
"54937","2010","6224.9756"
"54938","2010","6294.9663"
"54939","2010","6294.082"
"54940","2010","6293.9897"
"54941","2010","6295.785"
"54942","2010","6015.772"
"54943","2010","1644.4343"
"55650","2010","543.68713"
"55651","2010","2198.0886"
"55652","2010","1606.0885"
"55653","2010","2400.9788"
"55654","2010","678.77356"
"55655","2010","339.15674"
"55656","2010","4408.438"
"55657","2010","6365.283"
"55658","2010","6365.283"
"55659","2010","6365.283"
"55660","2010","6365.283"
"55661","2010","6365.283"
"55662","2010","5426.042"
"55663","2010","26.231361"
"56369","2010","5.6405034"
"56370","2010","1085.9563"
"56371","2010","1787.844"
"56372","2010","2527.9434"
"56373","2010","2141.0652"
"56374","2010","816.41797"
"56375","2010","438.20178"
"56376","2010","2492.9602"
"56377","2010","4111.823"
"56378","2010","3921.7783"
"56379","2010","3749.4797"
"56380","2010","3592.762"
"56381","2010","3480.6367"
"56382","2010","2418.5725"
"56852","2010","0"
"56853","2010","0"
"57090","2010","2066.8003"
"57091","2010","1686.0065"
"57092","2010","2673.9321"
"57093","2010","1584.4525"
"57094","2010","810.5473"
"57095","2010","574.5381"
"57096","2010","517.00885"
"57097","2010","720.09265"
"57098","2010","723.2888"
"57099","2010","712.99396"
"57100","2010","682.6625"
"57101","2010","682.6625"
"57102","2010","681.87177"
"57103","2010","420.5551"
"57104","2010","151.95227"
"57105","2010","8.019298"
"57809","2010","201.75717"
"57810","2010","2182.7117"
"57811","2010","2905.0557"
"57812","2010","2482.899"
"57813","2010","1604.191"
"57814","2010","395.96365"
"57815","2010","551.04626"
"57816","2010","560.93585"
"57817","2010","730.85376"
"57818","2010","730.85376"
"57819","2010","722.42926"
"57820","2010","689.8025"
"57821","2010","689.8025"
"57822","2010","689.8025"
"57823","2010","668.7372"
"57824","2010","687.46"
"57825","2010","360.01685"
"58318","2010","0"
"58529","2010","473.2545"
"58530","2010","2570.5935"
"58531","2010","3442.9502"
"58532","2010","3038.5874"
"58533","2010","1849.0182"
"58534","2010","408.8127"
"58535","2010","701.69684"
"58536","2010","671.7228"
"58537","2010","707.0412"
"58538","2010","532.44867"
"58539","2010","515.8362"
"58540","2010","491.332"
"58541","2010","630.3685"
"58542","2010","764.8508"
"58543","2010","783.6691"
"58544","2010","793.01416"
"58545","2010","605.7809"
"59249","2010","293.87747"
"59250","2010","1516.6326"
"59251","2010","2126.9004"
"59252","2010","1504.4897"
"59253","2010","142.5199"
"59254","2010","86.864006"
"59255","2010","258.21036"
"59256","2010","510.17548"
"59257","2010","253.95038"
"59258","2010","161.96593"
"59259","2010","201.67432"
"59260","2010","201.67432"
"59261","2010","501.57642"
"59262","2010","811.84515"
"59263","2010","811.84515"
"59264","2010","811.84515"
"59265","2010","811.64264"
"59266","2010","506.12268"
"59267","2010","180.56212"
